station_id,neighborhood,lon,lat
528,Murray Hill-Kips Bay,-73.97706058,40.74290902
529,Clinton,-73.99098507,40.7575699
530,Lincoln Square,-73.99046033620834,40.77149671054441
531,Chinatown,-73.99266288,40.71893904
532,North Side-South Side,-73.960876,40.710451
533,Midtown-Midtown South,-73.98721619,40.75299641
534,Battery Park City-Lower Manhattan,-74.0127234,40.70255065
536,Murray Hill-Kips Bay,-73.97536082,40.74144387
539,North Side-South Side,-73.96024116,40.71534825
540,Murray Hill-Kips Bay,-73.98215353488922,40.74311555376486
545,Stuyvesant Town-Cooper Village,-73.97809472,40.736502
546,Murray Hill-Kips Bay,-73.98303529,40.74444921
2000,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.98940236,40.70255088
2002,North Side-South Side,-73.963198,40.716887
2003,Stuyvesant Town-Cooper Village,-73.98054420948029,40.733812191966315
2005,,-73.97100056,40.70531194
2006,park-cemetery-etc-Manhattan,-73.97634151,40.76590936
2008,Battery Park City-Lower Manhattan,-74.01677685,40.70569254
2009,Chinatown,-73.99682619,40.71117444
2010,park-cemetery-etc-Manhattan,-74.00238141417502,40.72170005235607
2012,Murray Hill-Kips Bay,-73.976806,40.739445
2017,Turtle Bay-East Midtown,-73.97121414,40.75022392
2021,Clinton,-73.98859651,40.75929124
2022,Lenox Hill-Roosevelt Island,-73.959223,40.759107
3016,North Side-South Side,-73.96165072917938,40.72036775298455
3041,Crown Heights North,-73.94142771,40.67890679
3042,Crown Heights North,-73.9298911,40.6794268
3043,Stuyvesant Heights,-73.934903,40.6814598
3044,Stuyvesant Heights,-73.938475,40.6800105
3046,Stuyvesant Heights,-73.938037,40.682601
3047,Bedford,-73.944118,40.6823687
3048,Bedford,-73.94977,40.68402
3049,Clinton Hill,-73.96304,40.68488
3050,Stuyvesant Heights,-73.94111,40.6851532
3052,Stuyvesant Heights,-73.935775,40.686312
3053,Bedford,-73.947915,40.6900815
3054,Stuyvesant Heights,-73.942061,40.6894932
3055,Bedford,-73.950916,40.6883337
3056,Bedford,-73.95133465,40.69072549
3057,Bedford,-73.9452416,40.69128258
3058,Stuyvesant Heights,-73.93705428,40.69237074
3059,Stuyvesant Heights,-73.939877,40.6933982
3060,Bedford,-73.94626915,40.69425403
3061,Bedford,-73.94371094,40.69622937
3062,Bedford,-73.94954908,40.69539817
3063,Bedford,-73.95238108,40.69527008
3064,Stuyvesant Heights,-73.93756926,40.69681963
3065,Bedford,-73.95032283,40.70029511
3066,Bedford,-73.94708417,40.69957608
3067,Bedford,-73.9437303,40.7016657
3068,Bushwick South,-73.940636,40.7031724
3069,Williamsburg,-73.94818595,40.70411791
3070,East Williamsburg,-73.94407279,40.70510918
3071,East Williamsburg,-73.94976519,40.70538077
3072,East Williamsburg,-73.94644578,40.70583339
3074,Bushwick South,-73.94016171,40.70767788
3075,Williamsburg,-73.95796783,40.70708701
3076,East Williamsburg,-73.9448625,40.70870368
3077,North Side-South Side,-73.95095259,40.70877084
3078,North Side-South Side,-73.96063148975372,40.70924826276157
3080,North Side-South Side,-73.95608,40.70934
3081,East Williamsburg,-73.944024,40.711863
3082,North Side-South Side,-73.95141312,40.71167351
3083,East Williamsburg,-73.94100005,40.71247661
3085,North Side-South Side,-73.95739,40.71469
3086,East Williamsburg,-73.944507,40.715143
3087,East Williamsburg,-73.95234386,40.71413311
3088,North Side-South Side,-73.952029,40.7160751
3092,North Side-South Side,-73.95852515,40.7190095
3093,North Side-South Side,-73.95850939,40.71745169
3094,East Williamsburg,-73.94485918,40.7169811
3095,East Williamsburg,-73.94500379,40.71929301
3096,North Side-South Side,-73.95242,40.71924
3100,Greenpoint,-73.94752621650696,40.724812564400175
3101,North Side-South Side,-73.95484712,40.72079821
3102,North Side-South Side,-73.9504154,40.72179134
3105,Greenpoint,-73.955736,40.724055
3106,Greenpoint,-73.94308,40.72325
3107,North Side-South Side,-73.95212324,40.72311651
3108,Greenpoint,-73.94434,40.72557
3109,Greenpoint,-73.95621,40.72606
3110,Greenpoint,-73.95299117,40.72708584
3112,Greenpoint,-73.95779,40.72906
3113,Greenpoint,-73.95394,40.73026
3115,Greenpoint,-73.9550858,40.73232194
3116,Greenpoint,-73.95826,40.73266
3117,Greenpoint,-73.95866,40.73564
3118,Greenpoint,-73.95284,40.73555
3119,Hunters Point-Sunnyside-West Maspeth,-73.95411749,40.74232744
3121,Hunters Point-Sunnyside-West Maspeth,-73.94733276,40.74524768
3122,Hunters Point-Sunnyside-West Maspeth,-73.9558732509613,40.744363287066875
3123,Hunters Point-Sunnyside-West Maspeth,-73.93540375,40.74469738
3124,Hunters Point-Sunnyside-West Maspeth,-73.95451,40.74731
3125,Hunters Point-Sunnyside-West Maspeth,-73.94977234,40.74708586
3126,Hunters Point-Sunnyside-West Maspeth,-73.9432635,40.74718234
3127,Hunters Point-Sunnyside-West Maspeth,-73.9521,40.74966
3128,Hunters Point-Sunnyside-West Maspeth,-73.94594845,40.75052534
3129,Queensbridge-Ravenswood-Long Island City,-73.94073717,40.75110165
3130,Queensbridge-Ravenswood-Long Island City,-73.94335788,40.75325964
3131,Lenox Hill-Roosevelt Island,-73.96224617958069,40.76712840349542
3132,Upper East Side-Carnegie Hill,-73.97109243,40.76350532
3134,Lenox Hill-Roosevelt Island,-73.96526895,40.76312584
3135,Lenox Hill-Roosevelt Island,-73.95772297,40.77112927
3136,,-73.971518,40.766368
3137,,-73.96685276,40.77282817
3139,Upper East Side-Carnegie Hill,-73.96409422159195,40.77118287540658
3140,Lenox Hill-Roosevelt Island,-73.9535166,40.77140426
3141,Lenox Hill-Roosevelt Island,-73.95818491,40.76500525
3142,Lenox Hill-Roosevelt Island,-73.96094022,40.7612274
3143,,-73.96427392959595,40.77632142182271
3144,Upper East Side-Carnegie Hill,-73.9590097,40.77677702
3145,Upper East Side-Carnegie Hill,-73.95772073,40.77862688
3146,Upper East Side-Carnegie Hill,-73.9567526,40.77573034
3147,Yorkville,-73.95407149,40.77801203
3148,Yorkville,-73.95068615,40.77565541
3150,Yorkville,-73.94803392,40.77536905
3151,Yorkville,-73.94989233,40.7728384
3152,Lenox Hill-Roosevelt Island,-73.96119945,40.76873687
3154,Upper East Side-Carnegie Hill,-73.95856158,40.77314236
3156,Lenox Hill-Roosevelt Island,-73.95348296,40.76663814
3157,Yorkville,-73.94446054,40.77518615
3158,Lincoln Square,-73.98261428,40.77163851
3159,Lincoln Square,-73.98266566,40.77492513
3160,park-cemetery-etc-Manhattan,-73.97374737,40.77896784
3161,Upper West Side,-73.97728532552719,40.7801839724239
3163,park-cemetery-etc-Manhattan,-73.97782542,40.7734066
3164,Lincoln Square,-73.97898475,40.7770575
3165,park-cemetery-etc-Manhattan,-73.9762057363987,40.77579376683666
3166,Upper West Side,-73.98562431335449,40.78057799010334
3167,Lincoln Square,-73.98093044757842,40.77966809007312
3169,Upper West Side,-73.98128127,40.78720869
3170,Upper West Side,-73.97283406,40.78499979
3171,Upper West Side,-73.97667321,40.78524672
3172,Lincoln Square,-73.97754961,40.7785669
3173,Lincoln Square,-73.98888587951659,40.777507027547976
3175,Lincoln Square,-73.98288594,40.77748046
3177,Upper West Side,-73.977112,40.7867947
3178,Upper West Side,-73.98362492,40.78414472
3179,Bushwick South,-73.941342,40.698617
3182,park-cemetery-etc-Manhattan,-74.016966,40.686931
3184,,-74.0335519,40.7141454
3185,,-74.043845,40.7177325
3186,,-74.04311746358871,40.71958611647166
3187,,-74.03805095,40.7211236
3191,,-74.0836394,40.7182113
3192,,-74.0557013,40.7112423
3193,,-74.07840594649315,40.7246050998869
3194,,-74.06762212514877,40.7253399253558
3195,,-74.06391263008118,40.73089709786179
3196,,-74.0439909,40.7443187
3198,,-74.04044330120087,40.748715945380226
3199,,-74.0321082,40.7287448
3201,,-74.066921,40.737711
3202,,-74.0337589,40.7272235
3203,,-74.044247311,40.727595966
3205,,-74.0496379137039,40.71653978099194
3206,,-74.0575736,40.7311689
3207,,-74.0524783,40.7376037
3209,,-74.0506564,40.7241765
3210,,-74.051788633,40.742677141
3211,,-74.046304543,40.72152515
3212,,-74.050443636,40.734785818
3213,,-74.047726625,40.71848892
3214,,-74.0364857,40.7127742
3220,,-74.0595030784607,40.734961020009514
3221,Hunters Point-Sunnyside-West Maspeth,-73.93561,40.743
3225,,-74.0641943,40.7236589
3226,Upper West Side,-73.97137,40.78275
3231,Upper East Side-Carnegie Hill,-73.96592080593109,40.76780080148132
3232,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.98304268717766,40.68962188790333
3233,Midtown-Midtown South,-73.97805914282799,40.75724567911726
3235,Murray Hill-Kips Bay,-73.97992193698882,40.752165280621966
3236,Clinton,-73.99379968643188,40.75898481399634
3241,Bedford,-73.944694,40.686203
3242,Brooklyn Heights-Cobble Hill,-73.99183362722397,40.69102925677968
3243,Turtle Bay-East Midtown,-73.96226227283478,40.75892386377695
3244,West Village,-73.99490341544151,40.73143724085228
3246,Brooklyn Heights-Cobble Hill,-73.99230033159256,40.694281141397326
3249,Bedford,-73.9476791024208,40.6803560840434
3254,park-cemetery-etc-Manhattan,-74.01486575603485,40.69231660719192
3255,Hudson Yards-Chelsea-Flatiron-Union Square,-73.9946848154068,40.7505853470215
3256,SoHo-TriBeCa-Civic Center-Little Italy,-74.01129573583603,40.7277140777778
3259,Hudson Yards-Chelsea-Flatiron-Union Square,-73.99923384189606,40.74937024193277
3260,West Village,-73.99662137031554,40.72706363348306
3263,park-cemetery-etc-Manhattan,-73.99075269699097,40.72951496224949
3267,,-74.03852552175522,40.7124188237569
3268,,-74.06285852193832,40.71346382669195
3269,,-74.05038893222809,40.72601172964625
3270,,-74.04557168483734,40.72528910781132
3272,,-74.04595255851744,40.72333158646436
3273,,-74.04288411140442,40.721650724879986
3275,,-74.03891444206238,40.71835519823214
3276,,-74.04281705617905,40.71458403535893
3277,,-74.06661093235016,40.71435836870427
3278,,-74.04879033565521,40.72568548362901
3279,,-74.04996782541275,40.721630142638354
3280,,-74.07126188278198,40.71928220070702
3281,,-74.0572714805603,40.74590996631558
3282,,-73.95939,40.78307
3283,Upper West Side,-73.97041561,40.7882213
3284,Upper East Side-Carnegie Hill,-73.95595908164978,40.781410700190015
3285,Upper West Side,-73.9747,40.78839
3286,Yorkville,-73.9521667,40.7806284
3287,Upper West Side,-73.97757,40.789622
3288,Yorkville,-73.9488134,40.778301
