time,station_id,station_status,bikes_available,ebikes_available,bikes_disabled,docks_available,docks_disabled
2020-09-23 16:44:45,79,active,32,0,0,1,0
2020-09-23 16:44:45,82,active,24,0,1,2,0
2020-09-23 16:44:45,83,active,45,0,2,15,0
2020-09-23 16:44:45,116,active,24,0,3,23,0
2020-09-23 16:44:45,119,active,12,2,2,39,0
2020-09-23 16:44:45,120,active,2,0,0,17,0
2020-09-23 16:44:45,127,active,7,0,1,23,0
2020-09-23 16:44:45,128,active,26,1,0,4,0
2020-09-23 16:44:45,143,active,22,1,0,2,0
2020-09-23 16:44:45,144,active,36,0,0,22,0
2020-09-23 16:44:45,146,active,0,0,0,0,0
2020-09-23 16:44:45,150,active,32,0,2,21,0
2020-09-23 16:44:45,151,active,30,0,1,2,0
2020-09-23 16:44:45,157,active,14,0,2,7,0
2020-09-23 16:44:45,161,active,32,1,3,0,0
2020-09-23 16:44:45,164,active,42,2,4,1,0
2020-09-23 16:44:45,173,active,67,5,2,1,0
2020-09-23 16:44:45,174,active,27,0,1,7,0
2020-09-23 16:44:45,212,active,50,2,0,10,0
2020-09-23 16:44:45,216,active,2,1,3,18,0
2020-09-23 16:44:45,217,active,37,3,0,2,0
2020-09-23 16:44:45,223,active,25,2,0,7,1
2020-09-23 16:44:45,224,active,29,4,1,0,0
2020-09-23 16:44:45,228,active,53,2,0,2,0
2020-09-23 16:44:45,229,active,22,5,1,0,0
2020-09-23 16:44:45,236,active,21,0,2,24,0
2020-09-23 16:44:45,237,active,8,0,0,31,0
2020-09-23 16:44:45,238,active,3,0,0,28,0
2020-09-23 16:44:45,239,active,9,0,1,21,0
2020-09-23 16:44:45,241,active,1,0,1,21,0
2020-09-23 16:44:45,242,active,42,0,0,4,0
2020-09-23 16:44:45,244,active,1,0,0,30,0
2020-09-23 16:44:45,245,active,0,0,1,22,0
2020-09-23 16:44:45,247,active,20,0,2,33,0
2020-09-23 16:44:45,248,active,86,0,2,11,0
2020-09-23 16:44:45,249,active,19,1,1,7,0
2020-09-23 16:44:45,250,active,33,0,2,5,0
2020-09-23 16:44:45,251,active,20,0,0,7,0
2020-09-23 16:44:45,252,active,12,2,0,21,0
2020-09-23 16:44:45,254,active,26,2,0,21,0
2020-09-23 16:44:45,257,active,35,0,1,3,0
2020-09-23 16:44:45,258,active,0,0,0,23,0
2020-09-23 16:44:45,259,active,36,2,0,3,0
2020-09-23 16:44:45,260,active,32,0,1,0,0
2020-09-23 16:44:45,261,active,12,0,0,15,0
2020-09-23 16:44:45,262,active,4,1,0,20,0
2020-09-23 16:44:45,264,active,22,0,2,3,0
2020-09-23 16:44:45,265,active,10,0,2,23,0
2020-09-23 16:44:45,267,active,10,2,2,58,0
2020-09-23 16:44:45,268,active,27,1,0,0,0
2020-09-23 16:44:45,270,active,5,0,0,18,0
2020-09-23 16:44:45,274,active,17,0,1,13,0
2020-09-23 16:44:45,275,active,1,0,1,17,0
2020-09-23 16:44:45,276,active,14,0,3,8,0
2020-09-23 16:44:45,278,active,17,0,0,2,0
2020-09-23 16:44:45,280,active,40,3,1,18,0
2020-09-23 16:44:45,282,active,12,0,3,12,0
2020-09-23 16:44:45,284,active,40,1,2,1,0
2020-09-23 16:44:45,285,active,51,0,1,1,0
2020-09-23 16:44:45,289,active,4,0,1,14,0
2020-09-23 16:44:45,291,active,3,1,0,17,0
2020-09-23 16:44:45,293,active,30,1,2,23,0
2020-09-23 16:44:45,295,active,11,0,0,13,0
