time,station_id,station_status,bikes_available,ebikes_available,bikes_disabled,docks_available,docks_disabled
2020-09-23 16:44:25,366,active,1,0,0,32,0
2020-09-23 16:44:25,367,active,37,0,1,5,0
2020-09-23 16:44:25,368,active,5,1,2,32,0
2020-09-23 16:44:25,369,active,17,0,3,40,0
2020-09-23 16:44:25,372,active,7,1,0,20,0
2020-09-23 16:44:25,373,active,5,0,1,13,0
2020-09-23 16:44:25,376,active,42,0,0,1,0
2020-09-23 16:44:25,377,active,44,2,1,3,0
2020-09-23 16:44:25,379,active,10,0,2,30,0
2020-09-23 16:44:25,380,active,0,0,1,4,0
2020-09-23 16:44:25,383,active,18,0,2,19,0
2020-09-23 16:44:25,385,active,15,2,1,13,0
2020-09-23 16:44:25,386,active,80,1,2,0,0
2020-09-23 16:44:25,387,active,22,2,0,17,0
2020-09-23 16:44:25,388,active,28,0,0,7,0
2020-09-23 16:44:25,390,active,27,0,1,3,0
2020-09-23 16:44:25,391,active,0,0,1,30,0
2020-09-23 16:44:25,392,active,20,0,3,12,0
2020-09-23 16:44:25,393,active,5,0,0,32,0
2020-09-23 16:44:25,394,active,1,1,1,32,0
2020-09-23 16:44:25,396,active,6,0,1,18,0
2020-09-23 16:44:25,397,active,1,0,1,73,0
2020-09-23 16:44:25,398,active,21,0,1,9,0
2020-09-23 16:44:25,399,active,1,0,0,38,0
2020-09-23 16:44:25,400,active,8,0,2,5,0
2020-09-23 16:44:25,401,active,22,0,2,18,0
2020-09-23 16:44:25,402,active,34,0,3,2,0
2020-09-23 16:44:25,403,active,11,1,0,19,1
2020-09-23 16:44:25,405,active,49,0,2,0,0
2020-09-23 16:44:25,406,active,3,0,1,16,0
2020-09-23 16:44:25,408,active,17,2,0,6,0
2020-09-23 16:44:25,410,active,0,0,0,45,0
2020-09-23 16:44:25,411,active,0,0,1,30,0
2020-09-23 16:44:25,412,active,13,0,2,14,0
2020-09-23 16:44:25,415,active,38,0,2,6,0
2020-09-23 16:44:25,416,active,1,0,3,27,0
2020-09-23 16:44:25,417,active,22,0,0,3,0
2020-09-23 16:44:25,418,active,19,2,3,1,0
2020-09-23 16:44:25,419,active,1,0,0,22,0
2020-09-23 16:44:25,420,active,10,2,1,40,0
2020-09-23 16:44:25,421,active,12,0,3,4,0
2020-09-23 16:44:25,422,active,28,1,1,49,0
2020-09-23 16:44:25,423,active,0,0,1,26,0
2020-09-23 16:44:25,426,active,24,2,1,5,0
2020-09-23 16:44:25,427,active,46,0,0,1,0
2020-09-23 16:44:25,432,active,5,0,1,25,0
2020-09-23 16:44:25,434,active,45,1,0,15,0
2020-09-23 16:44:25,435,active,29,0,6,15,0
2020-09-23 16:44:25,436,active,0,0,0,27,0
2020-09-23 16:44:25,437,active,1,0,1,22,0
2020-09-23 16:44:25,438,active,22,1,0,25,0
2020-09-23 16:44:25,439,active,22,0,0,17,0
2020-09-23 16:44:25,440,active,28,2,2,2,0
2020-09-23 16:44:25,442,active,32,0,2,17,0
2020-09-23 16:44:25,443,active,14,0,1,7,1
2020-09-23 16:44:25,445,active,34,0,3,43,0
2020-09-23 16:44:25,446,active,20,0,0,59,0
2020-09-23 16:44:25,447,active,9,2,1,21,0
2020-09-23 16:44:25,448,active,2,0,1,24,0
2020-09-23 16:44:25,450,active,14,0,4,49,0
2020-09-23 16:44:25,453,active,29,2,0,37,0
2020-09-23 16:44:25,454,active,4,0,1,30,0
2020-09-23 16:44:25,455,active,25,0,2,32,0
2020-09-23 16:44:25,456,active,21,15,0,0,35
2020-09-23 16:44:25,458,active,30,1,0,1,0
2020-09-23 16:44:25,460,active,0,0,4,21,0
2020-09-23 16:44:25,462,active,67,1,0,10,0
2020-09-23 16:44:25,464,active,50,5,3,0,0
2020-09-23 16:44:25,465,active,25,2,0,14,0
2020-09-23 16:44:25,466,active,15,2,1,11,8
2020-09-23 16:44:25,467,active,28,0,0,6,0
2020-09-23 16:44:25,468,active,47,4,4,14,0
2020-09-23 16:44:25,469,active,24,1,0,33,0
2020-09-23 16:44:25,470,active,46,0,0,26,0
2020-09-23 16:44:25,472,active,23,0,3,29,0
2020-09-23 16:44:25,473,active,20,0,1,29,0
2020-09-23 16:44:25,474,active,33,0,2,21,0
2020-09-23 16:44:25,476,active,3,0,1,61,0
2020-09-23 16:44:25,477,active,0,0,3,68,0
2020-09-23 16:44:25,478,active,2,0,1,34,0
2020-09-23 16:44:25,479,active,5,1,1,25,0
2020-09-23 16:44:25,480,active,4,0,2,23,0
2020-09-23 16:44:25,481,active,7,0,0,18,0
2020-09-23 16:44:25,482,active,52,2,3,24,0
2020-09-23 16:44:25,483,active,27,1,1,6,0
2020-09-23 16:44:25,484,active,45,8,1,0,0
2020-09-23 16:44:25,485,active,35,7,1,4,0
2020-09-23 16:44:25,486,active,22,3,2,17,0
2020-09-23 16:44:25,487,active,0,0,1,34,0
2020-09-23 16:44:25,489,active,31,0,1,17,0
2020-09-23 16:44:25,490,active,9,1,3,54,0
2020-09-23 16:44:25,492,active,4,2,0,63,0
2020-09-23 16:44:25,493,active,30,2,1,3,0
2020-09-23 16:44:25,494,active,3,1,1,62,0
2020-09-23 16:44:25,495,active,1,0,0,38,0
2020-09-23 16:44:25,496,active,63,4,1,0,1
2020-09-23 16:44:25,497,active,62,1,3,1,0
2020-09-23 16:44:25,499,active,11,2,1,24,0
2020-09-23 16:44:25,500,active,51,3,0,1,0
2020-09-23 16:44:25,501,active,10,0,1,68,0
2020-09-23 16:44:25,502,active,2,0,0,34,0
2020-09-23 16:44:25,503,active,30,1,0,1,0
2020-09-23 16:44:25,504,active,23,0,2,29,0
2020-09-23 16:44:25,505,active,7,0,2,43,0
2020-09-23 16:44:25,508,active,2,0,1,21,1
2020-09-23 16:44:25,509,active,20,2,4,37,0
2020-09-23 16:44:25,513,active,11,0,0,18,0
2020-09-23 16:44:25,514,active,21,0,2,29,0
2020-09-23 16:44:25,515,active,6,0,2,71,0
2020-09-23 16:44:25,516,active,15,2,1,15,0
2020-09-23 16:44:25,517,active,65,1,3,1,0
2020-09-23 16:44:25,519,active,65,9,3,1,0
2020-09-23 16:44:25,522,active,46,2,1,4,0
2020-09-23 16:44:25,525,active,47,0,1,8,0
2020-09-23 16:44:25,526,active,26,4,2,12,0
2020-09-23 16:44:25,528,active,1,0,4,34,0
2020-09-23 16:44:25,529,active,4,0,0,37,0
2020-09-23 16:44:25,530,active,10,0,1,13,0
2020-09-23 16:44:25,531,active,22,0,0,17,0
2020-09-23 16:44:25,532,active,22,0,3,18,0
2020-09-23 16:44:25,533,active,42,10,4,0,0
